result_id,entity_id,entity_name,query,work_id,title,publication_year,cited_by_count,type,source_name,openalex_url,doi,author_count,institution_count,fetched_at
openalex_works_openai,openai,OpenAI,OpenAI large language model,W2896457183,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,2018,45756,article,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),https://openalex.org/W2896457183,https://doi.org/10.4230/lipics.cosit.2022.18,8,12,2026-07-27T06:43:23.306Z
openalex_works_openai,openai,OpenAI,OpenAI large language model,W4323655724,ChatGPT for good? On opportunities and challenges of large language models for education,2023,5567,article,Learning and Individual Differences,https://openalex.org/W4323655724,https://doi.org/10.1016/j.lindif.2023.102274,8,8,2026-07-27T06:43:23.306Z
openalex_works_openai,openai,OpenAI,OpenAI large language model,W4226278401,Training language models to follow instructions with human feedback,2022,4309,preprint,arXiv (Cornell University),https://openalex.org/W4226278401,https://doi.org/10.48550/arxiv.2203.02155,8,0,2026-07-27T06:43:23.306Z
openalex_works_openai,openai,OpenAI,OpenAI large language model,W4322718191,LLaMA: Open and Efficient Foundation Language Models,2023,3932,preprint,arXiv (Cornell University),https://openalex.org/W4322718191,https://doi.org/10.48550/arxiv.2302.13971,8,0,2026-07-27T06:43:23.306Z
openalex_works_openai,openai,OpenAI,OpenAI large language model,W4360620450,"Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy",2023,3869,article,International Journal of Information Management,https://openalex.org/W4360620450,https://doi.org/10.1016/j.ijinfomgt.2023.102642,8,10,2026-07-27T06:43:23.306Z
openalex_works_deepmind,deepmind,Google DeepMind,Google DeepMind artificial intelligence,W2257979135,Mastering the game of Go with deep neural networks and tree search,2016,15909,article,Nature,https://openalex.org/W2257979135,https://doi.org/10.1038/nature16961,8,16,2026-07-27T06:43:23.306Z
openalex_works_deepmind,deepmind,Google DeepMind,Google DeepMind artificial intelligence,W2606974598,Get To The Point: Summarization with Pointer-Generator Networks,2017,3909,conference-paper,,https://openalex.org/W2606974598,https://doi.org/10.18653/v1/p17-1099,3,3,2026-07-27T06:43:23.306Z
openalex_works_deepmind,deepmind,Google DeepMind,Google DeepMind artificial intelligence,W4384071683,Large language models encode clinical knowledge,2023,3380,article,Nature,https://openalex.org/W4384071683,https://doi.org/10.1038/s41586-023-06291-2,8,8,2026-07-27T06:43:23.306Z
openalex_works_deepmind,deepmind,Google DeepMind,Google DeepMind artificial intelligence,W4205379795,PROTAC targeted protein degraders: the past is prologue,2022,3126,article,Nature Reviews Drug Discovery,https://openalex.org/W4205379795,https://doi.org/10.1038/s41573-021-00371-6,3,3,2026-07-27T06:43:23.306Z
openalex_works_deepmind,deepmind,Google DeepMind,Google DeepMind artificial intelligence,W2610332124,"Deep learning for healthcare: review, opportunities and challenges",2017,3049,article,Briefings in Bioinformatics,https://openalex.org/W2610332124,https://doi.org/10.1093/bib/bbx044,5,5,2026-07-27T06:43:23.306Z
openalex_works_nvidia,nvidia,NVIDIA,NVIDIA GPU artificial intelligence,W4385245566,Exploiting Generative AI to Scale up Intelligent Tutoring Systems,2023,77051,article,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),https://openalex.org/W4385245566,https://doi.org/10.4230/lipics.itp.2023.19,8,9,2026-07-27T06:43:23.306Z
openalex_works_nvidia,nvidia,NVIDIA,NVIDIA GPU artificial intelligence,W4281790889,ColabFold: making protein folding accessible to all,2022,9835,article,Nature Methods,https://openalex.org/W4281790889,https://doi.org/10.1038/s41592-022-01488-1,6,10,2026-07-27T06:43:23.306Z
openalex_works_nvidia,nvidia,NVIDIA,NVIDIA GPU artificial intelligence,W3140854437,"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions",2021,7685,article,Journal Of Big Data,https://openalex.org/W3140854437,https://doi.org/10.1186/s40537-021-00444-8,8,10,2026-07-27T06:43:23.306Z
openalex_works_nvidia,nvidia,NVIDIA,NVIDIA GPU artificial intelligence,W3177318507,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,2021,6333,conference-paper,Proceedings of the AAAI Conference on Artificial Intelligence,https://openalex.org/W3177318507,https://doi.org/10.1609/aaai.v35i12.17325,7,8,2026-07-27T06:43:23.306Z
openalex_works_nvidia,nvidia,NVIDIA,NVIDIA GPU artificial intelligence,W2616247523,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,2019,5701,article,International Journal of Computer Vision,https://openalex.org/W2616247523,https://doi.org/10.1007/s11263-019-01228-7,6,10,2026-07-27T06:43:23.306Z
